"","station_name","latitude","longitude","name","values_no2"
"107",108,29.041111,111.668056,"Municipal Technical Supervision Bureau, Changde",34
"108",109,28.2203,112.888,"High-tech Zone EPA, Changsha",19
"109",110,28.1897,112.944,"Hunan Normal University, Changsha",8
"110",111,28.1308,112.891,"Hunan University of Traditional Chinese Medicine, Changsha",3
"111",112,28.1944,113.001,"New train station, Changsha",3
"112",113,28.2422,113.082,"Economic Development Zone EPA, Changsha",4
"113",114,28.2011,113.078,"Mapoling, Changsha",62
"114",115,28.3586,112.996,"Shaping, Changsha",29
"115",116,28.1178,112.984,"Tianxin District EPB, Changsha",38
"116",117,28.2597,112.979,"Wujialing, Changsha",28
"117",118,28.143,113.003,"Yuqua District EPB, Changsha",48
"118",119,36.196056,113.146583,"Aoruite, Changzhi",26
"119",120,36.185281,113.092816,"No.8 middle school, Changzhi",20
"120",121,36.193889,113.097222,"Monitoring station, Changzhi",3
"121",122,36.154167,113.109722,"Qinghua station, Changzhi",24
"122",123,36.212611,113.088556,"Auditing bureau, Changzhi",14
"123",124,41.566267,120.41381,"Bali bao, Chaoyang, Chaoyang",20
"124",125,43.937383,125.240978,"Agricultural Area, Chaoyang",14
"125",126,41.817091,120.507776,"xi liang, Chaoyang, Chaoyang",46
"126",127,30.6544,104.026,"Caotang Temple, Chengdu",7
"127",128,30.713,103.972,"Jinquan lianghe, Chengdu",29
"128",129,30.685,104.074,"Liang Lane, Chengdu",26
"129",130,31.0283,103.613,"Lingyansi, Chengdu",18
"130",131,30.6578,104.054,"People's Park, Chengdu",NA
"131",132,30.5706,104.079,"Sanwayao, Chengdu",NA
"132",133,30.6361,104.118,"Shahepu, Chengdu",NA
"133",134,30.6872,104.176,"Shilidian, Chengdu",34
"134",135,42.278652,118.981876,"Hada Street, Chifeng",NA
"135",136,42.169545,118.888852,"Songshan Road, Chifeng",17
"136",137,42.327222,118.786667,"Songshan No.1 Middle School, Chifeng",49
"137",138,42.273611,118.878889,"Tianyi Road, Chifeng",15
"138",139,38.863889,121.625,"Fujiazhuang, Dalian",10
"139",140,38.973889,121.611944,"Ganjingzi, Dalian",16
"140",141,39.1311,121.7481,"Jinzhou, Dalian",18
"141",142,39.0511,121.7769,"BDA, Dalian",25
"142",143,38.808056,121.258889,"Lushun, Dalian",17
"143",144,38.911944,121.633056,"Qingniwa Bridge, Dalian",17
"144",145,38.856111,121.518056,"Qixianling, Dalian",29
"145",146,39.0631,121.9769,"D&D Port, Dalian",18
"146",147,38.885,121.563889,"Xinghai No 3 station, Dalian",21
"147",148,38.951111,121.565,"Zhoushuizi, Dalian",17
"148",149,40.157134,124.426767,"Financial school, Dandong",10
"149",150,40.151168,124.425919,"linjiang houjie, Dandong, Dandong",24
"150",151,40.111401,124.367794,"minzhu bridge, Dandong, Dandong",8
"151",152,39.885819,124.152274,"Experimental Primary School, Dandong",5
"152",153,40.144699,124.39324,"yuanbaoshan, Dandong, Dandong",62
"153",154,40.147836,124.385861,"Yuanbaoshan water, Dandong",10
"154",155,40.067405,124.339954,"Bearing Factory, Dandong",19
"155",156,19.5275,109.5037,"Dongpo school sub-station, Danzhou",14
"156",157,19.52841,109.63583,"Heqing Power Station, Danzhou",18
"157",158,19.5088,109.5037,"City first secondary school sub-station, Danzhou",NA
"158",159,46.033333,124.716667,"Datong District, Daqing",10
"159",160,46.416667,124.883333,"Honggang District, Daqing",16
"160",161,46.533333,125.1,"Longfeng District, Daqing",3
"161",162,46.633333,124.85,"Ranghulu District, Daqing",5
"162",163,46.6,125.066667,"Saertu District, Daqing",10
"163",164,40.126944,113.266111,"Anjiaxiao village, Datong",16
"164",165,40.091667,113.344444,"Datong university, Datong",20
"165",166,40.109722,113.381944,"Guoshu farm, Datong",62
"166",167,40.095833,113.285833,"Hongqi square, Datong",NA
"167",168,40.084444,113.271111,"college of education, Datong",16
"168",169,40.075833,113.271111,"Yungang Hotel, Datong",37
"169",170,31.1208,104.4219,"Dongshan Park, Deyang",66
"170",171,31.1108,104.3539,"Refractory Factory, Deyang",NA
"171",172,31.1167,104.4053,"City Procuratorate, Deyang",8
"172",173,31.1333,104.3883,"Xixiaoqu, Deyang",44
"173",174,19.1202,108.8058,"Datianzhong School sub-station, Dongfang",10
"174",175,19.043571,108.64684,"Industrial Park police station, Dongfang",10
"175",176,19.0966,108.6472,"City Archives sub-station, Dongfang",44
"176",177,19.1005,108.6777,"City Land Resources Bureau station, Dongfang",12
"177",178,39.788158,109.982053,"Olympus Garden, Eerduosi",21
"178",179,39.810819,109.961236,"Bayinmengke forest office, Eerduosi",27
"179",180,39.836074,109.96657,"Huatai Automobile Mall, Eerduosi",15
"180",181,39.598888,109.782058,"Kangzeyuan, Eerduosi",NA
"181",182,39.81654,109.995465,"Zonghe lou, Eerduosi",8
"182",183,41.853192,124.038685,"Dongzhou, Fushun",NA
"183",184,41.80254,123.625945,"Shenfu new town, Fushun",NA
"184",185,41.844167,123.796944,"Reservoir, Fushun",5
"185",186,41.886389,123.787778,"Wanghua, Fushun",46
"186",187,41.886495,123.927217,"Xinhua, Fushun",23
"187",188,41.89495,124.011637,"Train Station, Fushun",24
"188",189,42.026998,121.67613,"Dongyuan, Fuxin, Fuxin",6
"189",190,42.038874,121.710064,"Industrial Area, Fuxin",NA
"190",191,42.069146,121.690984,"Agricultural Area, Fuxin",4
"191",192,42.032999,121.661141,"Yulong Metro, Fuxin, Fuxin",40
"192",193,26.072105,119.352919,"Gushan, Fuzhou",7
"193",194,26.028202,119.418528,"Kuaian, Fuzhou",3
"194",195,26.038712,119.309506,"Normal Univertsity, Fuzhou",44
"195",196,26.086796,119.308179,"Wusi North Road, Fuzhou",33
"196",197,26.076795,119.266218,"Yangqiao West  Road, Fuzhou",NA
"197",198,26.076788,119.324574,"Ziyang, Fuzhou",3
"198",199,25.235778,110.258,"No.8 middle school, Guilin",9
"199",200,25.268,110.39,"UESTC Yaoshan Campus, Guilin",8
"200",201,25.257,110.242,"Monitoring station, Guilin",17
"201",202,25.250833,110.308889,"Longyin Primary School, Guilin",62
"202",203,26.6009,106.7105,"Hongbianmen, Guiyang",25
"203",204,26.4364,106.6554,"Huaxi District, Guiyang",4
"204",205,26.6266,106.6243,"Jinyang New District, Guiyang",12
"205",206,26.6029,106.6856,"Ma'anshan, Guiyang",5
"206",207,26.5689,106.6971,"City EPA station, Guiyang",44
"207",208,26.3003,106.805,"Tongmuling, Guiyang",33
"208",209,26.6343,106.7487,"Wudang District, Guiyang",21
"209",210,26.5155,106.6948,"Xiaohe District, Guiyang",29
"210",211,26.5697,106.7164,"Yejingting, Guiyang",6
"211",212,45.5422,126.979,"Acheng huining, Haerbin",14
"212",213,45.7478,126.593,"Daoli Jianguo Road, Haerbin",NA
"213",214,45.7667,126.635,"Daowai Chengde Square, Haerbin",3
"214",215,45.7258,126.646,"Dongli Heping Road, Haerbin",8
"215",216,45.9819,126.6106,"Hulan Normal College, Haerbin",NA
"216",217,45.755,126.542,"Lingbei, Haerbin",18
"217",218,45.7222,126.599,"Nangang College Street, Haerbin",14
"218",219,45.61,126.615,"Pingfang Light Factory, Haerbin",NA
"219",220,45.6842,126.6206,"Provincial Academy of Agricultural Sciences, Haerbin",17
"220",221,45.8167,126.561,"Songbei Commercial University, Haerbin",7
"221",222,45.7733,126.689,"Taiping Hongwei Park, Haerbin",18
"222",223,45.7319,126.685,"Xiangfang Hongqi Street, Haerbin",6
"223",224,19.9507,110.576,"Zhongzhai Port, Haikou",18
"224",225,20.0574,110.3232,"Hainan University, Haikou",44
"225",226,19.9969,110.338,"Hainan Normal University, Haikou",62
"226",227,20.0356,110.33,"Longhua road EPA dormitory, Haikou",20
"227",228,20.0053,110.283,"Xiuying Hainan Hospital, Haikou",26
"228",229,31.7956,117.302,"Baohe District, Hefei",26
"229",230,31.7386,117.278,"Lake district, Hefei",53
"230",231,31.8572,117.25,"Changjiang middle road, Hefei",25
"231",232,31.9051,117.16,"Dongpu Reservoir, Hefei",18
"232",233,31.8516,117.124,"High-tech zone, Hefei",37
"233",234,31.8706,117.259,"Hupo Compound, Hefei",20
"234",235,31.9438,117.266,"Luyang District, Hefei",59
"235",236,31.7848,117.196,"Mingzhu Plaza, Hefei",19
"236",237,31.8766,117.307,"Sanli Street, Hefei",14
"237",238,31.8585,117.336,"Yaohai District, Hefei",14
"238",239,23.72333,114.6892,"Heyuan high school, Heyuan",64
"239",240,23.757006,114.698816,"No.3 elementary school, Heyuan",24
"240",241,23.691437,114.950036,"City water company, Heyuan",20
"241",242,40.277474,111.204041,"No.29 Middle School, Hohhot",20
"242",243,40.842299,111.749138,"Engineering University, Jinchuan Campus, Hohhot",24
"243",244,40.757093,111.724539,"Fertilizer Factory Living Area, Hohhot",40
"244",245,40.795085,111.628978,"No.1 Prison, Hohhot",31
"245",246,40.842299,111.749138,"Ruyi Sewage Plant, Hohhot",27
"246",247,40.812974,111.615625,"Sugar refinery, Hohhot",24
"247",248,40.799964,111.661244,"Xiaozhao, Hohhot",3
"248",249,40.845941,111.661607,"Xingsong Compound, Hohhot",18
"249",250,40.773914,120.866584,"Dongcheng District, Huludao, Huludao",18
"250",251,40.757419,120.837757,"huagong street, Huludao, Huludao",47
"251",252,40.754193,120.84327,"Huagong hospital, Huludao",27
"252",253,40.722688,120.916878,"Xishanpo, Huludao",26
"253",254,40.774041,120.867172,"Lianshan district governement, Huludao",26
"254",255,40.27891,120.204113,"Xinqu, Huludao",26
"255",256,40.721979,120.848651,"New district park, Huludao",31
"256",257,35.176389,113.246389,"High-tech District Government, Jiaozuo",28
"257",258,35.212778,113.226667,"City EPA, Jiaozuo",18
"258",259,35.235556,113.261111,"City Monitoring Station, Jiaozuo",NA
"259",260,35.268778,113.199278,"Movie and Film Studio Base, Jiaozuo",27
"260",261,39.812293,98.225891,"Jiuquan Refractories Company, Jiayuguan",NA
"261",262,39.771835,98.290554,"Bureau of Meteorology, Jiayuguan",51
"262",263,43.825,126.496389,"Electric Power College, Jilin",46
"263",264,43.836389,126.584444,"Dongjuzi, Jilin",37
"264",265,43.765833,126.673056,"Fengman, Jilin",18
"265",266,43.885833,126.54,"Hadawan, Jilin",38
"266",267,43.905833,126.6025,"Jiangbei, Jilin",17
"267",268,43.833056,126.550833,"Jiangnan Park, Jilin",61
"268",269,43.95757,126.469811,"Agricultural Science Academy, Jilin",14
"269",270,38.512683,102.184532,"Jinchuan Company No.2 Guest House, Jinchang",NA
"270",271,38.524444,102.189444,"Municipal Science and Technology Commission, Jinchang",56
"271",272,35.493242,112.835426,"Baiyun shopping mall, Jincheng",26
"272",273,35.485291,112.871993,"Institute of Technology, Jincheng",5
"273",274,35.488839,112.852421,"City EPA, Jincheng",6
"274",275,35.479114,112.832493,"No.1 middle school, Jincheng",26
"275",276,35.50519,112.851133,"Water Company, Jincheng",NA
"276",277,30.3055,112.2887,"kerong EPA, Jingzhou",NA
"277",278,30.3175,112.255139,"City Library, Jingzhou",4
"278",279,30.353056,112.201667,"City committee communist party school, Jingzhou",21
"279",280,37.697214,112.764524,"Jinlun compound, Jinzhong",NA
"280",281,37.71248,112.725563,"Nandu compound, Jinzhong",NA
"281",282,37.687692,112.719383,"Hydraulic Component Factory, Jinzhong",NA
"282",283,37.69758,112.707727,"Yuci district government, Jinzhong",69
"283",284,41.1202,121.204782,"baigu street, Jinzhou, Jinzhou",6
"284",285,41.139368,121.131697,"Beihu Park, Jinzhou",28
"285",286,41.111389,121.135278,"Monitoring station, Jinzhou",7
"286",287,40.852095,121.056188,"BDA, Jinzhou",20
"287",288,41.568383,122.041263,"Nanshan, Jinzhou",39
"288",289,41.12239,121.120465,"tianan street, Jinzhou, Jinzhou",46
"289",290,29.586667,115.993611,"Lushan Mountain Observatory, Jiujiang",NA
"290",291,29.70475,115.958139,"Maoshantou, Jiujiang",NA
"291",292,29.753361,116.08925,"Petrochemical General Plant, Jiujiang",NA
"292",293,29.681556,115.987222,"Shili, Jiujiang",NA
"293",294,29.692611,116.06275,"Water Scientific Research Institute, Jiujiang",NA
"294",295,29.653472,116.017444,"Wuqierling Factory, Jiujiang",NA
"295",296,29.729222,115.988,"Xiyuan, Jiujiang",NA
"296",297,29.603889,115.911444,"Zonghe Industrial Park, Jiujiang",31
"297",298,34.796576,114.380156,"Maternity And Child Hospital, Kaifeng",7
"298",299,34.800119,114.346797,"Henan University No.1 Hospital, Kaifeng",12
"299",300,34.826907,114.318907,"Yellow River Conservancy Institute, Kaifeng",17
"300",301,34.79452,114.296915,"Shijixing Kindergarden, Kaifeng",27
"301",302,34.776274,114.344389,"Cancer Hospital, Kaifeng",69
"302",303,25.0359,102.638,"Biji Square, Kunming",18
"303",304,24.8885,102.821,"Chenggong New Area, Kunming",7
"304",305,25.0405,102.722,"Dongfeng East Road, Kunming",NA
"305",306,25.0124,102.743,"Guanshang, Kunming",14
"306",307,25.067,102.681,"Jinding Mountain, Kunming",18
"307",308,25.0836,102.728,"Longquan Town, Kunming",10
"308",309,24.9624,102.625,"Xishan Forest Park, Kunming",29
"309",310,36.1031,103.631,"Lanlian hotel, Lanzhou",62
"310",311,36.0725,103.841,"Biological Product Institute, Lanzhou",6
"311",312,36.0464,103.831,"Railway Design Institute, Lanzhou",7
"312",313,35.94,104.148,"Yuzhong landa Campus, Lanzhou",54
"313",314,36.0756,103.712,"Worker hospital, Lanzhou",NA
"314",315,29.635,91.1303,"Bakuo street, Lhasa",24
"315",316,29.6339,91.0758,"Lhasa Railway Station, Lhasa",30
"316",317,29.6647,91.105,"District radiation station, Lhasa",28
"317",318,29.6347,91.0833,"District Monitoring Station, Lhasa",20
"318",319,29.6514,91.13,"City EPA, Lhasa",28
"319",320,29.6444,91.1264,"Tibet University, Lhasa",18
"320",321,18.7422,109.1777,"Land Environment and Resources Bureau, Ledongxian",8
"321",322,41.174703,123.413797,"Riverside Road, Liaoyang, Liaoyang",3
"322",323,41.258982,123.183182,"xinhua yuan, Liaoyang, Liaoyang",8
"323",324,36.082222,111.516944,"Gongshang college, Linfen",12
"324",325,36.071389,111.502778,"Technical Schools, Linfen",39
"325",326,36.078333,111.553056,"Lingang hospital, Linfen",33
"326",327,36.041667,111.491667,"South Airport, Linfen",46
"327",328,36.097778,111.5125,"City Monitoring Station, Linfen",12
"328",329,36.0875,111.5025,"Municipal party committee, Linfen",NA
"329",330,24.315833,109.483889,"Guting Hill, Liuzhou",NA
"330",331,24.345833,109.384444,"Hexi water supply company, Liuzhou",9
"331",332,24.326389,109.41,"EPA Station, Liuzhou",NA
"332",333,24.389778,109.488278,"Liudong Primary School, Liuzhou",44
"333",334,24.384444,109.377222,"No.9 middle school, Liuzhou",16
"334",335,24.2,109.42,"No.4 middle school, Liuzhou",24
"335",336,34.686667,112.503333,"Henan Forestry College, Luoyang",4
"336",337,34.623056,112.384444,"BDA Management Committee, Luoyang",NA
"337",338,34.67,112.433333,"City Monitoring Station, Luoyang",23
"338",339,34.651111,112.393889,"City committee communist party school, Luoyang",19
"339",340,34.624722,112.426667,"New municipal office, Luoyang",3
"340",341,34.686944,112.466389,"Yuxi Hotel, Luoyang",5
"341",342,34.669167,112.362778,"CITIC No.2 Elementary School, Luoyang",NA
"342",343,28.9583,105.4306,"Jiushi Hill, Luzhou",69
"343",344,28.8558,105.4322,"Lantianxian Bridge, Luzhou",NA
"344",345,28.8989,105.4322,"City Environment Monitoring Station, Luzhou",NA
"345",346,28.9026,105.4436,"Xiaoshishang Port, Luzhou",NA
"346",347,37.516092,111.128726,"Soybean factory, Luliang",24
"347",348,37.521402,111.137996,"City EPA, Luliang",18
"348",349,37.533143,111.13246,"Water Company, Luliang",69
"349",350,31.750556,118.510556,"Cihu No.2 elementary school, Maanshan",NA
"350",351,31.686111,118.505833,"Hudong Road No.4 Elementary School, Maanshan",NA
"351",352,31.692778,118.48,"Maanshan steel factory power plant, Maanshan",NA
"352",353,31.713333,118.643889,"City education base, Maanshan",NA
"353",354,31.643889,118.482778,"Tianping Garment Factory, Maanshan",2
"354",355,31.4747,104.7778,"Fuleshan, Mianyang",44
"355",356,31.4656,104.6717,"High-tech Zone Water Company, Mianyang",NA
"356",357,31.5072,104.7283,"No.3 water company, Mianyang",NA
"357",358,31.4539,104.7536,"Municipal People's Congress, Mianyang",NA
"358",359,44.565833,129.61,"No. 1 hospital, Mudanjiang",30
"359",360,44.565833,129.613611,"EPA building, Mudanjiang",3
"360",361,44.608611,129.645556,"Locomotive Factory, Mudanjiang",23
"361",362,44.584444,129.616111,"Cultural Square, Mudanjiang",NA
"362",363,28.6869,115.852,"Contruction Industry College, Nanchang",NA
"363",364,28.6969,115.973,"Jingdong town government, Nanchang",8
"364",365,28.7442,115.813,"Institute of Forestry, Nanchang",NA
"365",366,28.698,115.888,"Provincial forestry company, Nanchang",NA
"366",367,28.6844,115.893,"Jiangxi Foreign Affairs Office, Nanchang",10
"367",368,28.6844,115.931,"Provincial Station, Nanchang",15
"368",369,28.6131,115.912,"Petrifaction Company, Nanchang",NA
"369",370,28.7994,115.742,"Martial Arts School, Nanchang",24
"370",371,28.6425,115.892,"Xianghu, Nanchang",NA
"371",372,30.7856,106.1064,"Gaoping District Monitoring Station, Nanchong",NA
"372",373,30.7636,106.0642,"Jialing District EPB, Nanchong",NA
"373",374,30.8217,106.1031,"Refinery Factory, Nanchong",10
"374",375,30.8023,106.0789,"City Committee, Nanchong",14
"375",376,30.8388,106.1087,"City Environmental Monitoring Station, Nanchong",6
"376",377,30.8064,106.056,"Xishan scenic area, Nanchong",NA
"377",378,22.8561,108.316,"Beihu, Nanning",12
"378",379,22.805,108.383,"Daziran Garden, Nanning",NA
"379",380,22.8464,108.239,"District Agricultural Vocational College, Nanning",NA
"380",381,22.8225,108.321,"City Monitoring Station, Nanning",26
"381",382,22.7906,108.439,"Xianhu, Nanning",10
"382",383,22.735,108.328,"Yinghua jiayuan, Nanning",10
"383",384,22.7875,108.301,"Zhenning Garden, Nanning",7
"384",385,41.159612,121.923678,"Dingxiang, Panjin",NA
"385",386,41.155037,122.060968,"BDA, Panjin",NA
"386",387,41.138824,122.10584,"Xinglongtai, Panjin",NA
"387",388,41.160535,121.929739,"xinsheng jiedao, Panjin, Panjin",NA
"388",389,26.585,101.7169,"Bingcaogang, Panzhihua",NA
"389",390,26.5928,101.5769,"Hemenkou, Panzhihua",NA
"390",391,26.5569,101.8472,"Jinjina, Panzhihua",NA
"391",392,26.5703,101.6939,"Nongnongping, Panzhihua",62
"392",393,26.5017,101.7453,"Renhe, Panzhihua",NA
"393",394,33.721389,113.306389,"High Voltage Switchgear Factory, Pingdingshan",NA
"394",395,33.736667,113.291667,"City Planning Design Institute, Pingdingshan",NA
"395",396,33.773889,113.181944,"Engineering College, Pingdingshan",69
"396",397,33.739167,113.3225,"Xinhua Hotel, Pingdingshan",21
"397",398,23.627222,113.062222,"Fupin district, Qingyuan",12
"398",399,23.6936,113.0425,"Environment protection office, Qingyuan",NA
"399",400,19.2317,110.4608,"City Environmental Building Station, Qionghai",NA
"400",401,19.24888,110.4687,"City People's Hospital, Qionghai",NA
"401",402,47.363617,123.93045,"Anju Compound, Qiqihaer",NA
"402",403,47.183333,123.616667,"Fuqu EPA, Qiqihaer",11
"403",404,47.383333,123.983333,"Farming Vehicule Factory, Qiqihaer",3
"404",405,47.301569,123.950951,"City Environmental Monitoring Station, Qiqihaer",NA
"405",406,47.383333,123.916667,"City Center Square, Qiqihaer",NA
"406",407,24.9425,118.593889,"Qingyuan Montain, Quanzhou",NA
"407",408,25.116667,103.541667,"Environmental Monitoring Station, Qujing",69
"408",409,25.534613,103.803392,"Tobacco Factory office, Qujing",NA
"409",410,34.791667,111.185833,"No.2 Printing Factory, Sanmenxia",5
"410",411,34.799722,111.148889,"Fengjing district, Sanmenxia",NA
"411",412,34.801389,111.198333,"BDA, Sanmenxia",NA
"412",413,34.777222,111.192778,"City government, Sanmenxia",NA
"413",414,18.249083,109.5077,"Hedongzi Station, Sanya",33
"414",415,18.2683,109.496315,"Hexizi Station, Sanya",NA
"415",416,23.25,116.603333,"Chaoyangzi, Shantou",NA
"416",417,23.471389,116.751944,"Chenghaizi, Shantou",NA
"417",418,23.2775,116.725833,"Haojiangzi, Shantou",NA
"418",419,23.366667,116.679444,"Jinpingzi, Shantou",NA
"419",420,23.363889,116.724444,"Longhuzi, Shantou",NA
"420",421,24.810833,113.539722,"Bihu shanzhuang, Shaoguan",NA
"421",422,24.686111,113.596389,"Qujiang Monitoring Station, Shaoguan",NA
"422",423,24.793889,113.641388,"Shaoguan University, Shaoguan",NA
"423",424,24.770833,113.578333,"No.8 middle school, Shaoguan",11
"424",425,24.799166,113.606944,"Forest area, Shaoguan",NA
"425",426,41.69291,123.429526,"bai ta, Shenyang, Shenyang",44
"426",427,41.8472,123.428,"Beiling, Shenyang",NA
"427",428,41.821546,123.556557,"Tanglin Road, Shenyang, Shenyang",NA
"428",429,41.7089,123.439,"Dongruan, Shenyang",NA
"429",430,41.7806,123.3606,"Ermao, Shenyang",NA
"430",431,41.8333,123.642,"Huishan, Shenyang",23
"431",432,41.752206,123.525957,"hun nan dong lu, Shenyang, Shenyang",NA
"432",433,41.7561,123.535,"Hunnan, Shenyang",NA
"433",434,41.8283,123.355,"Liaoning University, Shenyang",NA
"434",435,41.8336,123.542,"Artillery College, Shenyang",69
"435",436,41.7972,123.4,"Taiyuan Street, Shenyang",5
